model,threshold,mean_precision,mean_recall,mean_f1
lightfm,0.08,0.009866789884093861,0.9825,0.019537351147803132
lightfm,0.09,0.009859661991486317,0.97975,0.01952282211458517
lightfm,0.1,0.009873629776477582,0.97875,0.019549988126922407
lightfm,0.11,0.009881656927656086,0.97675,0.01956529781823259
lightfm,0.12,0.009888764008269121,0.97425,0.019578688257889096
lightfm,0.13,0.009910176075168768,0.9725,0.01962024974578313
lightfm,0.14,0.00992772736740167,0.96975,0.019654012098507843
lightfm,0.15,0.00995577413848707,0.96725,0.019708359826417516
lightfm,0.16,0.009994715961141485,0.96475,0.01978399346498997
lightfm,0.17,0.010019013081573033,0.9595,0.01983027489077562
lightfm,0.18,0.010079239227106303,0.95625,0.019947261125920386
lightfm,0.19,0.010121854136834559,0.94975,0.020028900956988258
lightfm,0.2,0.01021344360232521,0.946,0.020206855319178277
lightfm,0.21,0.010288462852453916,0.939,0.02035144425349187
lightfm,0.22,0.010384711217928102,0.93175,0.020537253806594005
lightfm,0.23,0.010520262403782517,0.92475,0.020799604676577498
lightfm,0.24,0.010672002768296374,0.91775,0.02109332505627732
lightfm,0.25,0.01083161393408248,0.909,0.021401522839894643
lightfm,0.26,0.011052140511245622,0.90275,0.021828954217318484
lightfm,0.27,0.011263245369831686,0.893,0.02223642132427392
lightfm,0.28,0.011485106833039393,0.88325,0.022664306370915342
lightfm,0.29,0.01175393076074309,0.8755,0.023183902603230482
lightfm,0.3,0.011989427318850703,0.86325,0.023636495897777846
lightfm,0.31,0.012273678706082224,0.8535,0.024184315151551533
lightfm,0.32,0.012520509366469824,0.84175,0.024657966722799258
lightfm,0.33,0.01281951764224208,0.83275,0.02523352206775913
lightfm,0.34,0.013074855949384807,0.82175,0.025722815222613462
lightfm,0.35,0.013368132783930804,0.81175,0.02628503285218756
lightfm,0.36,0.013623545124514492,0.80025,0.026772602372141907
lightfm,0.37,0.013886142529195239,0.789,0.027273154577385175
lightfm,0.38,0.014162156091196218,0.7795,0.027799565846239924
lightfm,0.39,0.014325566434976596,0.76425,0.028103990110860625
lightfm,0.4,0.014519151658610301,0.751,0.028466846089437396
lightfm,0.41,0.014661642835362969,0.7355,0.028728759265950407
lightfm,0.42,0.01488994770718795,0.72425,0.029156846830736455
lightfm,0.43,0.015110888171499772,0.7125,0.029568923677860362
lightfm,0.44,0.015262626568394898,0.69775,0.029843440613605776
lightfm,0.45,0.015510228118379748,0.68625,0.030301484731512014
lightfm,0.46,0.01553341084863577,0.664,0.030316339962609927
lightfm,0.47,0.01567139440438189,0.6475,0.030554062424842137
lightfm,0.48,0.015930309377507765,0.63425,0.031017939818608332
lightfm,0.49,0.016046546196747582,0.615,0.031201107714074354
lightfm,0.5,0.016275256237823027,0.5995,0.03159178163440694
ncf,0.01,0.009970840283062915,0.99975,0.019744756943815077
ncf,0.02,0.009998068268932485,0.9995,0.019798088108952155
ncf,0.03,0.01002910024553492,0.99925,0.019858873035626317
ncf,0.04,0.010056681646348492,0.99775,0.01991263796604869
ncf,0.05,0.010103117717876187,0.997,0.020003501743454218
ncf,0.06,0.010154900692683908,0.99575,0.020104729071716478
ncf,0.07,0.010209970893486273,0.994,0.02021227584601409
ncf,0.08,0.010269209844704625,0.992,0.02032791267002978
ncf,0.09,0.010331952668794032,0.9895,0.02045028086932747
ncf,0.1,0.010394798099505375,0.9865,0.020572708098112576
ncf,0.11,0.010483385880592088,0.98525,0.020745893377958746
ncf,0.12,0.010559716420044366,0.9825,0.020894702160275048
ncf,0.13,0.010636702922900932,0.979,0.02104457450278004
ncf,0.14,0.010718790562175794,0.9755,0.021204369918321014
ncf,0.15,0.010812886602014954,0.97225,0.021387659516547315
ncf,0.16,0.01086832243142231,0.9655,0.021494399213548884
ncf,0.17,0.010984535789971144,0.9635,0.021721098600566906
ncf,0.18,0.01109227959637959,0.96,0.021930778585531892
ncf,0.19,0.011178128349131452,0.9545,0.02209705277279098
ncf,0.2,0.011277010980262755,0.94925,0.022288749153251824
ncf,0.21,0.011366882605785028,0.9425,0.022462308740323258
ncf,0.22,0.011454847533656966,0.93525,0.02263186536093626
ncf,0.23,0.011549958552657334,0.928,0.022815232798930704
ncf,0.24,0.0116478073570087,0.9195,0.023003397737150533
ncf,0.25,0.011757731064663495,0.912,0.023215226889631322
ncf,0.26,0.011863669979688926,0.90325,0.023418699493757373
ncf,0.27,0.011967697412307856,0.8935,0.023617874095152563
ncf,0.28,0.012078260122091991,0.88375,0.02382953524641117
ncf,0.29,0.01221572840268301,0.8755,0.024093843325948296
ncf,0.3,0.012326429819236293,0.8645,0.024304694448425566
ncf,0.31,0.012469985795235835,0.85525,0.024579773274360672
ncf,0.32,0.012578177165397709,0.84325,0.02478460466276827
ncf,0.33,0.012701134327978272,0.83175,0.025017937550089953
ncf,0.34,0.012782775402909853,0.81725,0.025169310108459516
ncf,0.35,0.012895320936948795,0.80425,0.025380791645543084
ncf,0.36,0.013038478767456793,0.793,0.025651974674112295
ncf,0.37,0.013139458281537298,0.7785,0.02583918697616351
ncf,0.38,0.013198773649111765,0.76175,0.025944052053626133
ncf,0.39,0.013284009563039045,0.74525,0.026098372773867506
ncf,0.4,0.013331757467049916,0.7275,0.02617887347246628
ncf,0.41,0.013418082842773031,0.71075,0.02633357029327803
ncf,0.42,0.013534850657460235,0.69575,0.026547243024535535
ncf,0.43,0.013668333930044609,0.68175,0.026792812002830582
ncf,0.44,0.013837979543862003,0.6685,0.027107282682325807
ncf,0.45,0.013908840527328416,0.65125,0.027228063868139127
ncf,0.46,0.014016510266180157,0.6355,0.02741929356301136
ncf,0.47,0.01404888837482983,0.617,0.027462720186607323
ncf,0.48,0.014124426796185996,0.59925,0.027588010143091608
ncf,0.49,0.014237421758648415,0.5835,0.02778533669902849
ncf,0.5,0.014281094040880033,0.56525,0.02784589213059516
random,0.01,0.009902549033824936,0.98525,0.019608011720315986
random,0.02,0.009912588397723632,0.9765,0.01962593105481478
random,0.03,0.009878186762643385,0.96325,0.01955579603777515
random,0.04,0.009868999538600086,0.9525,0.019535546173995624
random,0.05,0.009884646035166566,0.94425,0.019564433168594943
random,0.06,0.009895630556044734,0.9355,0.01958403937509163
random,0.07,0.009910775151193244,0.927,0.019611799449878117
random,0.08,0.00988848018435627,0.91525,0.019565483015005533
random,0.09,0.0098996963404773,0.9065,0.019585399707558206
random,0.1,0.00989067496007847,0.896,0.019565254483118945
random,0.11,0.009875039164425158,0.88475,0.019531938761486494
random,0.12,0.009862528916051237,0.87375,0.019504748758747355
random,0.13,0.009867294880621297,0.8645,0.019511722269085124
random,0.14,0.009861771703821255,0.854,0.019498200803041016
random,0.15,0.009873350363328414,0.845,0.019518436992314807
random,0.16,0.00984054543226922,0.83225,0.019450889563314325
random,0.17,0.009843596160253498,0.82275,0.01945420619656552
random,0.18,0.009820265793194368,0.811,0.019405304133498547
random,0.19,0.009816769059695236,0.801,0.019395565798459323
random,0.2,0.009818835983657563,0.79125,0.01939668969225065
random,0.21,0.009810656417766973,0.781,0.01937759911411128
random,0.22,0.009831081340980135,0.7725,0.019414759689939692
random,0.23,0.009805760529295353,0.76075,0.019361611964316332
random,0.24,0.00976258987732561,0.7475,0.019273096605725844
random,0.25,0.009791575912258387,0.73975,0.019326932327434182
random,0.26,0.009791972475119254,0.73,0.01932429026685372
random,0.27,0.009768151326809598,0.71875,0.01927389047057508
random,0.28,0.009779728133681408,0.71,0.01929321167879323
random,0.29,0.009778791277079205,0.70025,0.019287710814357373
random,0.3,0.009801860849483224,0.69225,0.01932947932792531
random,0.31,0.009803914758208044,0.683,0.019329785584513603
random,0.32,0.009815296270742265,0.67425,0.019348293538596954
random,0.33,0.0097761055568944,0.66175,0.01926690365738175
random,0.34,0.009776195772634907,0.65175,0.01926274631945432
random,0.35,0.00980988946479435,0.64425,0.019324777568901122
random,0.36,0.009788604941770144,0.6335,0.019278535687664973
random,0.37,0.009823733720148421,0.626,0.01934307632492436
random,0.38,0.00980648626438902,0.6155,0.01930449719570241
random,0.39,0.00977375014978949,0.60375,0.019235169032035884
random,0.4,0.009744793046048476,0.5925,0.01917324970687737
random,0.41,0.009754169864864092,0.58325,0.019186418983191466
random,0.42,0.00973851683490803,0.57275,0.01915032346862935
random,0.43,0.00978463131609361,0.56575,0.01923541054131507
random,0.44,0.009805681781559682,0.55675,0.01927070745701945
random,0.45,0.009794092987538288,0.54625,0.019241857426859615
random,0.46,0.009770245392370435,0.535,0.019188651298404587
random,0.47,0.009689492604171434,0.521,0.01902372506664934
random,0.48,0.009721888785912326,0.513,0.019080668947307044
random,0.49,0.009721802091263016,0.5035,0.019073709160882954
random,0.5,0.009751151097161353,0.495,0.019123839378641035
sbert,0.01,0.009911527805394412,0.995,0.019627537853629484
sbert,0.02,0.009908396739869695,0.99325,0.019621055619486526
sbert,0.03,0.009909578018533366,0.99175,0.01962307567003208
sbert,0.04,0.009925603871327097,0.99125,0.019654392290388713
sbert,0.05,0.009932164330620384,0.9895,0.019666902094211795
sbert,0.06,0.009935509099619672,0.987,0.019672954339081616
sbert,0.07,0.009935420525814033,0.98375,0.01967211955888647
sbert,0.08,0.009932188451428545,0.9795,0.019664911522245993
sbert,0.09,0.00991331894958022,0.97325,0.01962663934973907
sbert,0.1,0.009908338827500472,0.9675,0.01961566858278543
sbert,0.11,0.009923719307027247,0.96275,0.01964477330592606
sbert,0.12,0.009949635981731085,0.95825,0.01969453961521086
sbert,0.13,0.009971864852590518,0.95225,0.019736710871991935
sbert,0.14,0.009992622301136627,0.94525,0.019775734270133127
sbert,0.15,0.009988146367637202,0.935,0.01976454354670921
sbert,0.16,0.00999197665987513,0.9245,0.019769506188209895
sbert,0.17,0.009976708686840013,0.9105,0.01973612171605437
sbert,0.18,0.009968521878381839,0.896,0.019716325306640668
sbert,0.19,0.00998346510324422,0.882,0.019741655959026456
sbert,0.2,0.009956196166047045,0.863,0.01968294703842277
sbert,0.21,0.010000803505882522,0.84825,0.01976546603137578
sbert,0.22,0.010033862577024912,0.83175,0.019824502951979742
sbert,0.23,0.01003233014007345,0.811,0.019814299131239912
sbert,0.24,0.010052710916717169,0.79,0.01984609417178883
sbert,0.25,0.010059970692408004,0.76775,0.01985123300239881
sbert,0.26,0.010075616739279983,0.744,0.0198713879750046
sbert,0.27,0.010135902433515455,0.72275,0.019978337575842983
sbert,0.28,0.010179840153611616,0.6985,0.020050662417778337
sbert,0.29,0.01021884774449047,0.67375,0.020111938591652966
sbert,0.3,0.01024190888033337,0.64775,0.020140039091792992
sbert,0.31,0.010258805441876342,0.61975,0.020152147270890302
sbert,0.32,0.0103415411153073,0.594,0.02028963926827327
sbert,0.33,0.01043566237171623,0.57,0.020448336414487206
sbert,0.34,0.010563148201130244,0.545,0.020665035478755357
sbert,0.35,0.010523561356161865,0.5155,0.020554806934437828
sbert,0.36,0.010609723214825248,0.49075,0.020683805074153995
sbert,0.37,0.010696792278611904,0.4675,0.0208162953023695
